                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.2706,                0.94292,                 1.2089,                 1.4504,                 1.1708,                 1.1922,                0.65278,                0.36546,                0.41232,                0.23362,                  1.594,                 1.1576,                 1.3005,                 1.8155,                 1.4988,                 1.2832,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.2735,                0.94182,                 1.2018,                 1.4605,                 1.1738,                 1.1838,                0.51729,                0.36792,                 0.3899,                0.21234,                 1.6162,                 1.1625,                 1.3183,                 1.8486,                 1.4743,                 1.2976,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.2676,                0.93705,                 1.2067,                 1.4468,                 1.1706,                 1.1882,                0.48293,                0.39393,                0.40011,                0.22223,                 1.5555,                 1.1303,                 1.2807,                 1.7842,                 1.4538,                 1.2708,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.2612,                0.94027,                  1.205,                 1.4383,                 1.1728,                 1.1907,                0.59654,                0.40456,                 0.4172,                0.22821,                  1.571,                 1.1145,                 1.3005,                 1.7871,                 1.4523,                  1.279,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.2697,                0.94199,                  1.205,                 1.4488,                   1.18,                 1.1876,                0.59437,                0.41707,                0.41927,                0.23183,                 1.5574,                 1.1289,                 1.2886,                 1.7884,                 1.4328,                  1.283,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.2569,                0.93554,                 1.2052,                 1.4282,                 1.1675,                 1.1895,                0.53343,                0.39422,                 0.4161,                0.22731,                 1.5724,                 1.1107,                 1.2974,                 1.7873,                 1.4279,                 1.2749,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.2627,                0.92668,                 1.1987,                 1.4382,                 1.1495,                 1.1827,                0.54649,                0.39541,                0.41773,                 0.2346,                  1.551,                 1.1023,                 1.2726,                 1.7912,                 1.3816,                 1.2704,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.2619,                0.93158,                 1.1995,                  1.445,                 1.1589,                 1.1838,                0.62736,                0.41526,                0.42338,                0.22985,                 1.5728,                 1.1062,                  1.293,                 1.7801,                  1.416,                 1.2769,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.2481,                0.91707,                 1.1957,                 1.4272,                 1.1406,                 1.1802,                0.62456,                0.40515,                0.42567,                0.24109,                 1.5367,                 1.1128,                 1.2725,                 1.7715,                 1.4143,                 1.2609,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.2477,                0.91234,                 1.1893,                 1.4379,                 1.1315,                 1.1734,                0.67895,                0.41971,                0.43947,                0.25102,                 1.5373,                 1.1035,                 1.2683,                 1.7587,                    1.4,                 1.2554,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.2514,                0.92342,                 1.1953,                 1.4255,                  1.145,                 1.1823,                0.59819,                0.42178,                0.43588,                 0.2522,                 1.5427,                 1.0944,                 1.2772,                 1.7747,                 1.3815,                 1.2638,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.2463,                0.91053,                 1.1931,                 1.4257,                 1.1293,                 1.1772,                 0.5787,                0.41026,                0.42057,                   0.24,                 1.5601,                 1.1114,                 1.2768,                 1.8123,                 1.4198,                 1.2676,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.2454,                0.91702,                 1.1925,                 1.4278,                 1.1426,                 1.1788,                0.65586,                0.40661,                0.43252,                0.23619,                 1.5819,                 1.0986,                 1.2975,                 1.8144,                 1.4217,                 1.2838,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.2316,                0.89776,                 1.1812,                 1.4159,                 1.1089,                 1.1667,                0.64568,                0.38466,                0.42428,                 0.2336,                 1.5633,                 1.0909,                 1.2785,                 1.7924,                 1.4128,                 1.2582,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.2345,                0.90383,                 1.1845,                 1.4193,                 1.1238,                 1.1683,                0.56219,                0.40326,                0.42337,                0.23536,                 1.5492,                 1.0846,                  1.275,                 1.7966,                 1.3937,                 1.2712,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.2317,                 0.8961,                 1.1868,                 1.4112,                 1.1161,                 1.1738,                0.50045,                0.39409,                0.41514,                0.23251,                 1.5282,                 1.0768,                 1.2703,                  1.783,                 1.3701,                 1.2632,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.2261,                0.89541,                 1.1836,                 1.4033,                 1.1078,                 1.1694,                0.52122,                0.41667,                0.42299,                0.23397,                 1.5407,                  1.082,                 1.2771,                 1.7947,                 1.3444,                 1.2696,             0.00027508,             0.00027508,             0.00027508
                     79,                 1.2301,                0.89361,                 1.1794,                 1.4129,                 1.1018,                 1.1658,                 0.6144,                0.38549,                0.43107,                0.24111,                 1.5574,                 1.0873,                 1.2834,                 1.7931,                 1.3647,                 1.2625,             0.00026408,             0.00026408,             0.00026408
                     80,                  1.225,                0.89089,                 1.1808,                 1.4039,                 1.1066,                 1.1656,                0.55692,                0.40038,                0.43186,                0.24294,                 1.5558,                 1.0941,                 1.2818,                  1.798,                 1.3581,                 1.2766,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.2272,                0.89212,                 1.1817,                 1.4123,                 1.1013,                 1.1676,                0.65768,                 0.3688,                0.43738,                0.24282,                  1.544,                  1.075,                 1.2718,                 1.7723,                 1.4023,                 1.2562,             0.00024209,             0.00024209,             0.00024209
                     82,                 1.2238,                0.89086,                 1.1801,                  1.403,                 1.1008,                 1.1684,                0.56678,                 0.4036,                0.43074,                0.23767,                 1.5508,                 1.0714,                 1.2709,                 1.7852,                 1.3755,                 1.2604,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.2244,                0.88897,                 1.1735,                 1.4074,                 1.1018,                 1.1597,                0.62202,                 0.3907,                0.43302,                0.24116,                  1.551,                 1.0763,                 1.2688,                 1.7858,                 1.3903,                 1.2666,             0.00022009,             0.00022009,             0.00022009
                     84,                 1.2219,                0.88151,                 1.1724,                 1.4058,                 1.0903,                 1.1575,                 0.6048,                0.38032,                0.43027,                0.23965,                 1.5475,                 1.0815,                 1.2761,                 1.7998,                 1.3685,                 1.2745,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.2098,                0.88027,                 1.1723,                 1.3869,                 1.0896,                 1.1593,                 0.6316,                0.38009,                0.43139,                0.24003,                 1.5351,                  1.075,                  1.269,                 1.7885,                  1.373,                 1.2674,             0.00019809,             0.00019809,             0.00019809
                     86,                 1.2148,                0.87677,                 1.1772,                 1.3908,                 1.0784,                 1.1642,                0.58966,                0.40478,                0.43188,                0.23895,                 1.5335,                 1.0652,                 1.2632,                 1.7689,                 1.3653,                 1.2589,             0.00018709,             0.00018709,             0.00018709
